symbol,cond1,cond2,cond3,cond4,cond5,cond6,cond7,met_count,rs_score,cond8
NDAQ,True,True,True,True,True,True,True,8,87.56,True
OPY,True,True,True,True,True,True,True,8,87.52,True
AIRT,True,True,True,True,True,True,True,8,87.49,True
GL,True,True,True,True,True,True,True,8,87.48,True
WTS,True,True,True,True,True,True,True,8,87.47,True
FROG,True,True,True,True,True,True,True,8,87.4,True
FHI,True,True,True,True,True,True,True,8,87.38,True
FTI,True,True,True,True,True,True,True,8,87.37,True
VIRT,True,True,True,True,True,True,True,8,87.36,True
TDS,True,True,True,True,True,True,True,8,87.27,True
INTU,True,True,True,True,True,True,True,8,87.23,True
TENX,True,True,True,True,True,True,True,8,87.21,True
FCA,True,True,True,True,True,True,True,8,87.11,True
NFG,True,True,True,True,True,True,True,8,87.08,True
BETZ,True,True,True,True,True,True,True,8,87.0,True
IAI,True,True,True,True,True,True,True,8,86.96,True
MSFT,True,True,True,True,True,True,True,8,86.93,True
IQM,True,True,True,True,True,True,True,8,86.92,True
ARTY,True,True,True,True,True,True,True,8,86.91,True
RTX,True,True,True,True,True,True,True,8,86.86,True
DAIO,True,True,True,True,True,True,True,8,86.82,True
ONLN,True,True,True,True,True,True,True,8,86.75,True
JBTM,True,True,True,True,True,True,True,8,86.72,True
BAP,True,True,True,True,True,True,True,8,86.7,True
MGYR,True,True,True,True,True,True,True,8,86.64,True
NCSM,True,True,True,True,True,True,True,8,86.59,True
COMP,True,True,True,True,True,True,True,8,86.56,True
UGI,True,True,True,True,True,True,True,8,86.55,True
FNGS,True,True,True,True,True,True,True,8,86.52,True
PFGC,True,True,True,True,True,True,True,8,86.49,True
PRLB,True,True,True,True,True,True,True,8,86.47,True
GSL,True,True,True,True,True,True,True,8,86.46,True
MFG,True,True,True,True,True,True,True,8,86.45,True
ALG,True,True,True,True,True,True,True,8,86.43,True
LTL,True,True,True,True,True,True,True,8,86.4,True
TGS,True,True,True,True,True,True,True,8,86.34,True
FFTY,True,True,True,True,True,True,True,8,86.24,True
CSGP,True,True,True,True,True,True,True,8,86.11,True
WTAI,True,True,True,True,True,True,True,8,86.09,True
EWP,True,True,True,True,True,True,True,8,86.07,True
SIXG,True,True,True,True,True,True,True,8,86.03,True
BKD,True,True,True,True,True,True,True,8,86.02,True
ZG,True,True,True,True,True,True,True,8,85.94,True
PAC,True,True,True,True,True,True,True,8,85.91,True
HNNA,True,True,True,True,True,True,True,8,85.86,True
SPMO,True,True,True,True,True,True,True,8,85.84,True
JPM,True,True,True,True,True,True,True,8,85.81,True
RBC,True,True,True,True,True,True,True,8,85.8,True
AGIX,True,True,True,True,True,True,True,8,85.78,True
ILDR,True,True,True,True,True,True,True,8,85.76,True
BN,True,True,True,True,True,True,True,8,85.74,True
EM,True,True,True,True,True,True,True,8,85.72,True
MSB,True,True,True,True,True,True,True,8,85.7,True
PPA,True,True,True,True,True,True,True,8,85.68,True
BNT,True,True,True,True,True,True,True,8,85.66,True
OGIG,True,True,True,True,True,True,True,8,85.51,True
CBRE,True,True,True,True,True,True,True,8,85.49,True
IETC,True,True,True,True,True,True,True,8,85.48,True
MISL,True,True,True,True,True,True,True,8,85.47,True
BVN,True,True,True,True,True,True,True,8,85.46,True
RLX,True,True,True,True,True,True,True,8,85.44,True
RNW,True,True,True,True,True,True,True,8,85.43,True
ETR,True,True,True,True,True,True,True,8,85.36,True
GGME,True,True,True,True,True,True,True,8,85.3,True
SFYF,True,True,True,True,True,True,True,8,85.2,True
TR,True,True,True,True,True,True,True,8,85.16,True
TPTA,True,True,True,True,True,True,True,8,85.11,True
R,True,True,True,True,True,True,True,8,85.1,True
CALM,True,True,True,True,True,True,True,8,85.06,True
