symbol,has_image,vcp_detected,vcp_confidence,cup_handle_detected,cup_handle_confidence,detection_date,error
ARKW,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
PPTA,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
XERS,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
IBIT,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
WRLD,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
ABCL,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
HODL,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
EZBC,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
BTCW,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
FBTC,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
BITB,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
FIVE,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
BRRR,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
BTCO,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
CLBR,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
DEFI,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
NTGR,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
ELTX,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
SII,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
NRIM,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
FLEX,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
AVXL,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
ARKF,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
ICL,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
MAXI,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
NEXT,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
TOST,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
FORTY,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
FINV,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
ENLT,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
