symbol,data_available,image_generated,vcp_detected,vcp_confidence,vcp_confidence_level,vcp_dimensional_scores,cup_handle_detected,cup_handle_confidence,cup_handle_confidence_level,cup_handle_dimensional_scores,processing_date
ATFV,True,True,True,0.649,Medium,"{'technical_quality': np.float64(0.8159061309477701), 'volume_confirmation': np.float64(0.07686335403726709), 'temporal_validity': 1.0, 'market_context': 1.0}",True,0.92,High,"{'technical_quality': 0.8, 'volume_confirmation': 1.0, 'temporal_validity': 1.0, 'market_context': 1.0}",2025-08-01 23:22:56
TME,True,True,True,0.643,Medium,"{'technical_quality': np.float64(0.6876415170269807), 'volume_confirmation': np.float64(0.29409189526955803), 'temporal_validity': 1.0, 'market_context': 0.7999999999999999}",True,0.76,Medium,"{'technical_quality': 0.8, 'volume_confirmation': 0.6000000000000001, 'temporal_validity': 0.9000000000000001, 'market_context': 0.7999999999999999}",2025-08-01 23:22:57
NVTS,True,True,False,0.488,Low,"{'technical_quality': np.float64(0.3822979621069077), 'volume_confirmation': np.float64(0.21562936554632073), 'temporal_validity': 1.0, 'market_context': 0.7}",False,0.41,Low,"{'technical_quality': 0.35, 'volume_confirmation': 0.0, 'temporal_validity': 1.0, 'market_context': 0.7}",2025-08-01 23:22:57
PLTR,True,True,False,0.0,None,"{'technical_quality': 0.0, 'volume_confirmation': 0.0, 'temporal_validity': 0.0, 'market_context': 0.0}",True,0.6,Medium,"{'technical_quality': 0.55, 'volume_confirmation': 0.4, 'temporal_validity': 0.8, 'market_context': 1.0}",2025-08-01 23:22:58
ECNS,True,True,True,0.637,Medium,"{'technical_quality': np.float64(0.8663225319101088), 'volume_confirmation': 0.0, 'temporal_validity': 1.0, 'market_context': 0.8999999999999999}",True,0.63,Medium,"{'technical_quality': 0.65, 'volume_confirmation': 0.4, 'temporal_validity': 0.8, 'market_context': 0.8999999999999999}",2025-08-01 23:22:58
GAMR,True,True,True,0.7,Medium,"{'technical_quality': np.float64(0.8015245125959342), 'volume_confirmation': np.float64(0.3318302779420461), 'temporal_validity': 0.9, 'market_context': 1.0}",True,0.84,High,"{'technical_quality': 0.75, 'volume_confirmation': 0.8, 'temporal_validity': 1.0, 'market_context': 1.0}",2025-08-01 23:22:59
VNM,True,True,True,0.741,Medium,"{'technical_quality': np.float64(0.8294035711939891), 'volume_confirmation': np.float64(0.3643986326593456), 'temporal_validity': 1.0, 'market_context': 1.0}",True,0.68,Medium,"{'technical_quality': 0.75, 'volume_confirmation': 0.4, 'temporal_validity': 0.8, 'market_context': 1.0}",2025-08-01 23:22:59
CLS,True,True,False,0.0,None,"{'technical_quality': 0.0, 'volume_confirmation': 0.0, 'temporal_validity': 0.0, 'market_context': 0.0}",False,0.0,None,"{'technical_quality': 0.0, 'volume_confirmation': 0.0, 'temporal_validity': 0.0, 'market_context': 0.0}",2025-08-01 23:22:59
METV,True,True,True,0.788,Medium,"{'technical_quality': np.float64(0.8042776405554541), 'volume_confirmation': np.float64(0.58775319355696), 'temporal_validity': 1.0, 'market_context': 0.9}",False,0.59,Low,"{'technical_quality': 0.75, 'volume_confirmation': 0.0, 'temporal_validity': 1.0, 'market_context': 0.9}",2025-08-01 23:23:00
KURE,True,True,False,0.466,Low,"{'technical_quality': np.float64(0.4158769170096469), 'volume_confirmation': 0.0, 'temporal_validity': 1.0, 'market_context': 1.0}",True,0.62,Medium,"{'technical_quality': 0.65, 'volume_confirmation': 0.4, 'temporal_validity': 0.7, 'market_context': 1.0}",2025-08-01 23:23:00
CNEQ,True,True,True,0.603,Medium,"{'technical_quality': np.float64(0.698281744096795), 'volume_confirmation': np.float64(0.07950751252086811), 'temporal_validity': 1.0, 'market_context': 1.0}",True,0.8,High,"{'technical_quality': 0.8, 'volume_confirmation': 0.6000000000000001, 'temporal_validity': 1.0, 'market_context': 1.0}",2025-08-01 23:23:01
BNGE,True,True,True,0.624,Medium,"{'technical_quality': np.float64(0.7822442719658044), 'volume_confirmation': np.float64(0.16901408450704225), 'temporal_validity': 1.0, 'market_context': 0.6}",False,0.56,Low,"{'technical_quality': 0.75, 'volume_confirmation': 0.0, 'temporal_validity': 1.0, 'market_context': 0.6}",2025-08-01 23:23:01
OCFT,True,True,True,0.602,Medium,"{'technical_quality': np.float64(0.7634828437324679), 'volume_confirmation': np.float64(0.12250609310309882), 'temporal_validity': 1.0, 'market_context': 0.6}",True,0.64,Medium,"{'technical_quality': 0.75, 'volume_confirmation': 0.4, 'temporal_validity': 0.8, 'market_context': 0.6}",2025-08-01 23:23:02
HIMS,True,True,True,0.779,Medium,"{'technical_quality': np.float64(0.8563622381452299), 'volume_confirmation': np.float64(0.5231582143977914), 'temporal_validity': 0.9, 'market_context': 1.0}",True,0.68,Medium,"{'technical_quality': 0.6, 'volume_confirmation': 0.6, 'temporal_validity': 0.8, 'market_context': 1.0}",2025-08-01 23:23:02
GEV,True,True,False,0.0,None,"{'technical_quality': 0.0, 'volume_confirmation': 0.0, 'temporal_validity': 0.0, 'market_context': 0.0}",False,0.0,None,"{'technical_quality': 0.0, 'volume_confirmation': 0.0, 'temporal_validity': 0.0, 'market_context': 0.0}",2025-08-01 23:23:03
RILYK,True,True,True,0.836,High,"{'technical_quality': np.float64(0.8418447547160499), 'volume_confirmation': np.float64(0.6654124677606632), 'temporal_validity': 1.0, 'market_context': 1.0}",False,0.56,Low,"{'technical_quality': 0.5, 'volume_confirmation': 0.2, 'temporal_validity': 1.0, 'market_context': 1.0}",2025-08-01 23:23:03
TTMI,True,True,False,0.573,Low,"{'technical_quality': np.float64(0.7323187445565673), 'volume_confirmation': 0.0, 'temporal_validity': 0.8999999999999999, 'market_context': 1.0}",True,0.66,Medium,"{'technical_quality': 0.75, 'volume_confirmation': 0.2, 'temporal_validity': 1.0, 'market_context': 1.0}",2025-08-01 23:23:03
RDUS,True,True,True,0.626,Medium,"{'technical_quality': np.float64(0.7179335861289357), 'volume_confirmation': np.float64(0.19618297787522423), 'temporal_validity': 1.0, 'market_context': 0.8}",False,0.54,Low,"{'technical_quality': 0.4, 'volume_confirmation': 0.4, 'temporal_validity': 0.9000000000000001, 'market_context': 0.8}",2025-08-01 23:23:04
TRFK,True,True,False,0.588,Low,"{'technical_quality': np.float64(0.6742917251930836), 'volume_confirmation': np.float64(0.12612152704857787), 'temporal_validity': 1.0, 'market_context': 0.8}",True,0.68,Medium,"{'technical_quality': 0.7, 'volume_confirmation': 0.4, 'temporal_validity': 1.0, 'market_context': 0.8}",2025-08-01 23:23:04
FPX,True,True,True,0.609,Medium,"{'technical_quality': np.float64(0.5789696217131586), 'volume_confirmation': np.float64(0.39061994378191506), 'temporal_validity': 0.8, 'market_context': 1.0}",True,0.86,High,"{'technical_quality': 0.8, 'volume_confirmation': 0.8, 'temporal_validity': 1.0, 'market_context': 1.0}",2025-08-01 23:23:05
XAR,True,True,False,0.0,None,"{'technical_quality': 0.0, 'volume_confirmation': 0.0, 'temporal_validity': 0.0, 'market_context': 0.0}",False,0.56,Low,"{'technical_quality': 0.6, 'volume_confirmation': 0.4, 'temporal_validity': 0.7, 'market_context': 0.6}",2025-08-01 23:23:05
TMAT,True,True,True,0.696,Medium,"{'technical_quality': np.float64(0.7760375861076502), 'volume_confirmation': np.float64(0.3504640658232273), 'temporal_validity': 1.0, 'market_context': 0.8}",True,0.68,Medium,"{'technical_quality': 0.7, 'volume_confirmation': 0.4, 'temporal_validity': 1.0, 'market_context': 0.8}",2025-08-01 23:23:06
ESPO,True,True,True,0.687,Medium,"{'technical_quality': np.float64(0.886533366409735), 'volume_confirmation': np.float64(0.24126663062242845), 'temporal_validity': 1.0, 'market_context': 0.6}",True,0.7,Medium,"{'technical_quality': 0.8, 'volume_confirmation': 0.4, 'temporal_validity': 1.0, 'market_context': 0.6}",2025-08-01 23:23:06
BTRN,True,True,True,0.647,Medium,"{'technical_quality': np.float64(0.3553149133969935), 'volume_confirmation': np.float64(0.7496379063558283), 'temporal_validity': 1.0, 'market_context': 0.7999999999999999}",False,0.58,Low,"{'technical_quality': 0.4, 'volume_confirmation': 0.6, 'temporal_validity': 0.8, 'market_context': 0.7999999999999999}",2025-08-01 23:23:06
WW,True,True,True,0.633,Medium,"{'technical_quality': 0.26666666666666666, 'volume_confirmation': np.float64(0.821840887197597), 'temporal_validity': 0.9, 'market_context': 1.0}",False,0.38,None,"{'technical_quality': 0.35, 'volume_confirmation': 0.0, 'temporal_validity': 0.7, 'market_context': 1.0}",2025-08-01 23:23:07
LYEL,True,True,True,0.618,Medium,"{'technical_quality': np.float64(0.32377064569605485), 'volume_confirmation': np.float64(0.6630350488211492), 'temporal_validity': 1.0, 'market_context': 0.8999999999999999}",True,0.67,Medium,"{'technical_quality': 0.45, 'volume_confirmation': 0.8, 'temporal_validity': 0.8, 'market_context': 0.8999999999999999}",2025-08-01 23:23:07
