date,Open,High,Low,Close,Adj Close,Volume,symbol
2024-11-07 05:00:00+00:00,38.0,44.0,38.0,42.0,42.0,38778,CBIO
2024-11-08 05:00:00+00:00,38.0,42.0,38.0,41.0,41.0,18672,CBIO
2024-11-11 05:00:00+00:00,42.0,43.0,39.0,42.0,42.0,22361,CBIO
2024-11-12 05:00:00+00:00,42.0,42.0,40.0,40.0,40.0,9707,CBIO
2024-11-13 05:00:00+00:00,42.0,42.0,39.0,40.0,40.0,10525,CBIO
2024-11-14 05:00:00+00:00,41.0,41.0,37.0,40.0,40.0,9781,CBIO
2024-11-15 05:00:00+00:00,40.0,44.0,39.0,42.0,42.0,18124,CBIO
2024-11-18 05:00:00+00:00,42.0,45.0,41.0,42.0,42.0,23824,CBIO
2024-11-19 05:00:00+00:00,41.0,42.0,37.0,38.0,38.0,15645,CBIO
2024-11-20 05:00:00+00:00,35.0,37.0,31.0,33.0,33.0,34817,CBIO
2024-11-21 05:00:00+00:00,32.0,33.0,31.0,32.0,32.0,10074,CBIO
2024-11-22 05:00:00+00:00,35.0,35.0,31.0,32.0,32.0,7006,CBIO
2024-11-25 05:00:00+00:00,29.0,32.0,28.0,29.0,29.0,67171,CBIO
2024-11-26 05:00:00+00:00,30.0,34.0,29.0,32.0,32.0,12085,CBIO
2024-11-27 05:00:00+00:00,30.0,33.0,30.0,31.0,31.0,8910,CBIO
2024-11-29 05:00:00+00:00,31.0,36.0,31.0,35.0,35.0,12589,CBIO
2024-12-02 05:00:00+00:00,35.0,37.0,32.0,33.0,33.0,6950,CBIO
2024-12-03 05:00:00+00:00,31.0,33.0,30.0,31.0,31.0,6840,CBIO
2024-12-04 05:00:00+00:00,31.0,31.0,29.0,30.0,30.0,2568,CBIO
2024-12-05 05:00:00+00:00,29.0,30.0,28.0,29.0,29.0,6831,CBIO
2024-12-06 05:00:00+00:00,27.0,30.0,27.0,29.0,29.0,5916,CBIO
2024-12-09 05:00:00+00:00,30.0,34.0,29.0,30.0,30.0,12280,CBIO
2024-12-10 05:00:00+00:00,29.0,32.0,28.0,29.0,29.0,9408,CBIO
2024-12-11 05:00:00+00:00,28.0,29.0,27.0,28.0,28.0,3538,CBIO
2024-12-12 05:00:00+00:00,26.0,28.0,25.0,25.0,25.0,10063,CBIO
2024-12-13 05:00:00+00:00,24.0,26.0,23.0,24.0,24.0,6296,CBIO
2024-12-16 05:00:00+00:00,22.0,24.0,22.0,24.0,24.0,7427,CBIO
2024-12-17 05:00:00+00:00,23.0,24.0,21.0,23.0,23.0,5101,CBIO
2024-12-18 05:00:00+00:00,24.0,25.0,22.0,22.0,22.0,5531,CBIO
2024-12-19 05:00:00+00:00,22.0,24.0,19.0,21.0,21.0,12514,CBIO
2024-12-20 05:00:00+00:00,20.0,25.0,20.0,23.0,23.0,10346,CBIO
2024-12-23 05:00:00+00:00,24.0,24.0,21.0,22.0,22.0,3229,CBIO
2024-12-24 05:00:00+00:00,21.0,24.0,21.0,24.0,24.0,4067,CBIO
2024-12-26 05:00:00+00:00,23.0,26.0,22.0,26.0,26.0,7152,CBIO
2024-12-27 05:00:00+00:00,26.0,26.0,23.0,24.0,24.0,8264,CBIO
2024-12-30 05:00:00+00:00,25.0,27.0,24.0,25.0,25.0,9707,CBIO
2024-12-31 05:00:00+00:00,26.0,26.0,24.0,25.0,25.0,8293,CBIO
2025-01-02 05:00:00+00:00,25.0,29.0,24.0,26.0,26.0,5515,CBIO
2025-01-03 05:00:00+00:00,26.0,30.0,26.0,28.0,28.0,6025,CBIO
2025-01-06 05:00:00+00:00,29.0,30.0,28.0,28.0,28.0,5118,CBIO
2025-01-07 05:00:00+00:00,29.0,30.0,28.0,28.0,28.0,4364,CBIO
2025-01-08 05:00:00+00:00,27.0,30.0,26.0,28.0,28.0,5471,CBIO
2025-01-10 05:00:00+00:00,26.0,27.0,26.0,27.0,27.0,1567,CBIO
2025-01-13 05:00:00+00:00,26.0,26.0,24.0,25.0,25.0,2490,CBIO
2025-01-14 05:00:00+00:00,25.0,26.0,24.0,25.0,25.0,1056,CBIO
2025-01-15 05:00:00+00:00,25.0,26.0,24.0,25.0,25.0,1816,CBIO
